0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,O II,Si II,Si III,Si IV
He II,4339.891,0.578,3.06,6.57,1.00,0.89,1.09,0.83,2.98,2.42,1.86,1.17,0.86,0.94,0.87,1.48,3.12,2.28,1.77,2.55,2.37,0.78,0.87,0.69,1.17,0.77,0.77,0.74,0.81,,1.33,1.73,1.82,0.89,0.80,0.69,1.33,0.87,0.81,0.69
Mg I,5168.761,0.435,2.30,4.94,0.75,0.67,0.82,0.63,2.24,1.82,1.40,0.88,0.64,0.71,0.65,1.11,2.35,1.71,1.33,1.92,1.78,0.59,0.66,0.52,0.88,0.58,0.58,0.55,0.61,0.75,,1.30,1.37,0.67,0.60,0.52,1.00,0.66,0.61,0.52
Mg I,5174.125,0.334,1.77,3.80,0.58,0.52,0.63,0.48,1.72,1.40,1.08,0.68,0.49,0.54,0.50,0.85,1.81,1.31,1.02,1.47,1.37,0.45,0.51,0.40,0.68,0.44,0.45,0.43,0.47,0.58,0.77,,1.05,0.52,0.46,0.40,0.77,0.51,0.47,0.40
Mg I,5185.048,0.317,1.68,3.60,0.55,0.49,0.60,0.46,1.63,1.33,1.02,0.64,0.47,0.52,0.48,0.81,1.71,1.25,0.97,1.40,1.30,0.43,0.48,0.38,0.64,0.42,0.42,0.40,0.44,0.55,0.73,0.95,,0.49,0.44,0.38,0.73,0.48,0.45,0.38
Mg II,4482.383,0.646,3.42,7.34,1.12,1.00,1.22,0.93,3.33,2.70,2.08,1.31,0.96,1.05,0.97,1.65,3.49,2.54,1.98,2.85,2.65,0.87,0.98,0.77,1.31,0.86,0.86,0.82,0.90,1.12,1.49,1.93,2.04,,0.90,0.77,1.49,0.98,0.91,0.78
N II,3995.373,0.72,3.81,8.18,1.25,1.11,1.36,1.04,3.71,3.01,2.32,1.46,1.07,1.17,1.08,1.84,3.89,2.83,2.21,3.17,2.95,0.97,1.09,0.86,1.46,0.95,0.96,0.92,1.00,1.25,1.66,2.16,2.27,1.11,,0.86,1.66,1.09,1.01,0.87
N III,4635.42,0.841,4.45,9.56,1.46,1.30,1.59,1.21,4.34,3.52,2.71,1.71,1.24,1.37,1.26,2.15,4.55,3.31,2.58,3.70,3.45,1.13,1.27,1.00,1.71,1.11,1.13,1.07,1.17,1.46,1.93,2.52,2.65,1.30,1.17,,1.94,1.27,1.18,1.01
O II,4416.138,0.433,2.29,4.92,0.75,0.67,0.82,0.62,2.23,1.81,1.40,0.88,0.64,0.71,0.65,1.11,2.34,1.70,1.33,1.91,1.77,0.58,0.66,0.51,0.88,0.57,0.58,0.55,0.60,0.75,1.00,1.30,1.37,0.67,0.60,0.51,,0.66,0.61,0.52
Si II,4129.218,0.661,3.50,7.51,1.15,1.02,1.25,0.95,3.41,2.77,2.13,1.34,0.98,1.08,0.99,1.69,3.57,2.60,2.03,2.91,2.71,0.89,1.00,0.79,1.34,0.88,0.88,0.84,0.92,1.14,1.52,1.98,2.09,1.02,0.92,0.79,1.53,,0.93,0.79
Si III,4553.898,0.711,3.76,8.08,1.23,1.10,1.35,1.02,3.66,2.97,2.29,1.45,1.05,1.16,1.07,1.82,3.84,2.80,2.18,3.13,2.91,0.96,1.08,0.85,1.45,0.94,0.95,0.91,0.99,1.23,1.63,2.13,2.24,1.10,0.99,0.85,1.64,1.08,,0.85
Si IV,4486.96,0.832,4.40,9.45,1.44,1.28,1.58,1.20,4.29,3.48,2.68,1.69,1.23,1.36,1.25,2.13,4.50,3.28,2.55,3.67,3.41,1.12,1.26,0.99,1.69,1.10,1.11,1.06,1.16,1.44,1.91,2.49,2.62,1.29,1.16,0.99,1.92,1.26,1.17,
