0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,O II,Si II,Si III
,Wavelength,,'4226,1','4260,636','3934,777','4255,534',4276,'4290,924','4045,04','4046,955','4064,848','4072,67','4144,583','4215,539','4260,55','4271,076','4326,978','3971,195','4102,892','4341,684','4862,683','6564,61','4010,39','4121,973','4144,928','4389,162','5017,077','5049,146','4026,739','4201,015','4339,891','4860,677','5413,03','5168,761','5174,125','5185,048','4482,383','4416,138','4129,218','4553,898'
,,Intensity,'0,675','0,694','0,08','0,472','0,5','0,43','0,602','0,177','0,224','0,242','0,334','0,756','0,694','0,647','0,255','0,136','0,341','0,288','0,216','0,215','0,718','0,792','0,334','0,739','0,827','0,806','0,665','0,759','0,594','0,622','0,749','0,422','0,367','0,36','0,798','0,406','0,616','0,766'
He I,'4389,162','0,739','1,09','1,06','9,24','1,57','1,48','1,72','1,23','4,18','3,3','3,05','2,21','0,98','1,06','1,14','2,9','5,43','2,17','2,57','3,42','3,44','1,03','0,93','2,21',,'0,89','0,92','1,11','0,97','1,24','1,19','0,99','1,75','2,01','2,05','0,93','1,82','1,2','0,96'
He I,'5017,077','0,827','1,23','1,19','10,34','1,75','1,65','1,92','1,37','4,67','3,69','3,42','2,48','1,09','1,19','1,28','3,24','6,08','2,43','2,87','3,83','3,85','1,15','1,04','2,48','1,12',,'1,03','1,24','1,09','1,39','1,33','1,1','1,96','2,25','2,3','1,04','2,04','1,34','1,08'
He I,'5049,146','0,806','1,19','1,16','10,08','1,71','1,61','1,87','1,34','4,55','3,6','3,33','2,41','1,07','1,16','1,25','3,16','5,93','2,36','2,8','3,73','3,75','1,12','1,02','2,41','1,09','0,97',,'1,21','1,06','1,36','1,3','1,08','1,91','2,2','2,24','1,01','1,99','1,31','1,05'
He II,'4026,739','0,665','0,99','0,96','8,31','1,41','1,33','1,55','1,1','3,76','2,97','2,75','1,99','0,88','0,96','1,03','2,61','4,89','1,95','2,31','3,08','3,09','0,93','0,84','1,99','0,9','0,8','0,83',,'0,88','1,12','1,07','0,89','1,58','1,81','1,85','0,83','1,64','1,08','0,87'
He II,'4201,015','0,759','1,12','1,09','9,49','1,61','1,52','1,77','1,26','4,29','3,39','3,14','2,27',1,'1,09','1,17','2,98','5,58','2,23','2,64','3,51','3,53','1,06','0,96','2,27','1,03','0,92','0,94','1,14',,'1,28','1,22','1,01','1,8','2,07','2,11','0,95','1,87','1,23','0,99'
He II,'4339,891','0,594','0,88','0,86','7,42','1,26','1,19','1,38','0,99','3,36','2,65','2,45','1,78','0,79','0,86','0,92','2,33','4,37','1,74','2,06','2,75','2,76','0,83','0,75','1,78','0,8','0,72','0,74','0,89','0,78',,'0,95','0,79','1,41','1,62','1,65','0,74','1,46','0,96','0,78'
He II,'4860,677','0,622','0,92','0,9','7,77','1,32','1,24','1,45','1,03','3,51','2,78','2,57','1,86','0,82','0,9','0,96','2,44','4,57','1,82','2,16','2,88','2,89','0,87','0,79','1,86','0,84','0,75','0,77','0,94','0,82','1,05',,'0,83','1,47','1,69','1,73','0,78','1,53','1,01','0,81'
He II,'5413,03','0,749','1,11','1,08','9,36','1,59','1,5','1,74','1,24','4,23','3,34','3,1','2,24','0,99','1,08','1,16','2,94','5,51','2,2','2,6','3,47','3,48','1,04','0,95','2,24','1,01','0,91','0,93','1,13','0,99','1,26','1,2',,'1,77','2,04','2,08','0,94','1,84','1,22','0,98'
Mg I,'5168,761','0,422','0,63','0,61','5,27','0,89','0,84','0,98','0,7','2,38','1,88','1,74','1,26','0,56','0,61','0,65','1,65','3,1','1,24','1,47','1,95','1,96','0,59','0,53','1,26','0,57','0,51','0,52','0,63','0,56','0,71','0,68','0,56',,'1,15','1,17','0,53','1,04','0,69','0,55'
Mg I,'5174,125','0,367','0,54','0,53','4,59','0,78','0,73','0,85','0,61','2,07','1,64','1,52','1,1','0,49','0,53','0,57','1,44','2,7','1,08','1,27','1,7','1,71','0,51','0,46','1,1','0,5','0,44','0,46','0,55','0,48','0,62','0,59','0,49','0,87',,'1,02','0,46','0,9','0,6','0,48'
Mg I,'5185,048','0,36','0,53','0,52','4,5','0,76','0,72','0,84','0,6','2,03','1,61','1,49','1,08','0,48','0,52','0,56','1,41','2,65','1,06','1,25','1,67','1,67','0,5','0,45','1,08','0,49','0,44','0,45','0,54','0,47','0,61','0,58','0,48','0,85','0,98',,'0,45','0,89','0,58','0,47'
Mg II,'4482,383','0,798','1,18','1,15','9,97','1,69','1,6','1,86','1,33','4,51','3,56','3,3','2,39','1,06','1,15','1,23','3,13','5,87','2,34','2,77','3,69','3,71','1,11','1,01','2,39','1,08','0,96','0,99','1,2','1,05','1,34','1,28','1,07','1,89','2,17','2,22',,'1,97','1,3','1,04'
O II,'4416,138','0,406','0,6','0,59','5,08','0,86','0,81','0,94','0,67','2,29','1,81','1,68','1,22','0,54','0,59','0,63','1,59','2,99','1,19','1,41','1,88','1,89','0,57','0,51','1,22','0,55','0,49','0,5','0,61','0,53','0,68','0,65','0,54','0,96','1,11','1,13','0,51',,'0,66','0,53'
Si II,'4129,218','0,616','0,91','0,89','7,7','1,31','1,23','1,43','1,02','3,48','2,75','2,55','1,84','0,81','0,89','0,95','2,42','4,53','1,81','2,14','2,85','2,87','0,86','0,78','1,84','0,83','0,74','0,76','0,93','0,81','1,04','0,99','0,82','1,46','1,68','1,71','0,77','1,52',,'0,8'
Si III,'4553,898','0,766','1,13','1,1','9,57','1,62','1,53','1,78','1,27','4,33','3,42','3,17','2,29','1,01','1,1','1,18',3,'5,63','2,25','2,66','3,55','3,56','1,07','0,97','2,29','1,04','0,93','0,95','1,15','1,01','1,29','1,23','1,02','1,82','2,09','2,13','0,96','1,89','1,24',
